,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
178,7.656,356248.9307,737534.6895,1.70E-05,2,430030.5,1.804536689,0.349047834,0.1941875,0.914213706,1.59863417,0.922572766,5
179,0.004218867,272.9598929,0.654075421,19.21185171,1.069836869,930071.7039,1.931290779,0.27416526,0.222591667,0.933012739,1.852769102,0.91080259,5
180,1.093714286,69702.16686,43547.2626,0.00028856,1,812508,1.914,0.34423197,0.3681875,0.5,1.867737111,0.882280939,5
181,0.004471784,236.9027855,0.756350437,16.61399186,1.036646004,741614.7818,1.793238094,0.375076723,0.261802083,0.962677885,1.687934173,0.906699078,5
182,0.004403879,252.8264723,0.692269086,18.15190111,1.020411548,855824.3011,1.876313861,0.319953458,0.313970833,0.978130546,1.844015871,0.892720307,5
183,0.005139601,214.8700292,0.684217226,18.36551249,0.958719119,658093.6869,1.860487476,0.464772828,0.14775625,1.040825071,1.37182831,0.941678208,5
184,1.007777778,65218.02209,31522.15444,0.00039864,0.8,1031818.75,2.015555556,0.348609043,0.185995833,0.75,1.71479264,0.925148573,5
185,1.093714286,56279.93505,35161.5627,0.000357379,1,656047,1.914,0.449300981,0.136539583,0.5,1.374070283,0.944511241,5
186,0.005306684,205.7138863,0.696902091,18.03122728,1.010460292,577303.2398,1.842053815,0.494281617,0.135945833,0.987387859,1.290780211,0.94802275,5
187,5.656,274977.3333,324038.3443,3.88E-05,1,824932,2.828,0.344710829,0.3506125,1,1.797720332,0.887529792,5
188,1.61225,44383.89494,14821.06919,0.000847847,3.53846127,221805.7342,2.186101704,0.376140001,0.245089583,0.065217408,1.541482584,0.914278002,5
189,2.247333333,103610.059,60394.02484,0.000208067,0.263157888,3320611.09,2.025718893,0.341903962,0.177620833,2.357779561,1.59341351,0.930130715,5
190,1.093714286,84003.02338,52481.89379,0.000239435,1,979211,1.914,0.276044768,0.335441667,0.5,1.918917123,0.886537516,5
191,0.004441911,251.4699411,0.684362465,18.36161484,1.013871051,856818.0331,1.863942278,0.353398541,0.1793125,0.984464677,1.552267649,0.929112409,5
192,0.004472653,239.5203931,0.707547525,17.75993775,0.962264109,841379.1933,1.841566455,0.367117141,0.157666667,1.03723504,1.553083887,0.935470834,5
193,0.004194183,257.5138011,0.736197365,17.06879241,1.102261082,822723.4134,1.811872259,0.310242045,0.27770625,0.905469413,1.808037209,0.899407596,5
194,1.093714286,72979.98086,45595.11611,0.0002756,1,850717,1.914,0.33470669,0.259022917,0.5,1.748118956,0.906203473,5
195,3.828,203867.125,185141.3069,6.79E-05,2,431797.5,1.9021486,0.331830127,0.28208125,0.245356035,1.74421761,0.904705676,5
196,0.004672372,243.4098249,0.63922446,19.65819642,0.985640139,837703.3029,1.933460186,0.346954751,0.232241667,1.01263545,1.759709677,0.913279599,5
